,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush
person,2656392,41684,174542,57533,9935,32601,11764,33814,38483,51897,2912,3774,1858,36825,14813,1721,11538,27768,9564,9123,11509,313,1069,3137,52771,103754,89497,42183,27990,12783,45585,13315,36845,97236,26443,28156,34955,30495,24776,59549,31214,61791,9537,12151,8372,27591,23600,6613,5593,6804,1933,3684,5773,13549,10425,11900,187557,8737,18699,3595,41810,1113,10506,12487,1710,14798,3040,20528,1100,2754,117,2461,2865,26590,16029,6128,1314,6412,170,2209
bicycle,41684,22182,9658,2421,35,1269,271,1151,683,3014,183,259,146,1049,366,131,352,345,125,231,69,1,4,3,2454,1775,2288,166,393,71,12,11,131,716,42,32,733,114,43,756,39,323,20,44,30,168,794,86,58,123,13,23,31,48,49,16,1153,55,805,29,333,13,76,52,20,44,38,294,6,17,6,14,33,420,314,59,11,48,1,5
car,174542,9658,296794,14201,2433,14711,2655,28055,5943,54586,3478,4206,3332,4767,3997,295,1904,2057,2297,1274,739,49,280,244,4442,6597,8622,1232,2427,1341,572,222,1736,5554,657,644,3452,912,744,1368,376,1305,188,171,127,650,756,236,210,256,44,112,284,413,621,141,4551,95,3791,64,1213,209,306,212,82,62,103,1346,33,43,4,40,125,688,3102,239,50,601,6,49
motorcycle,57533,2421,14201,39208,57,1125,53,2316,133,2585,68,193,63,311,118,50,235,169,161,417,113,1,0,2,967,1615,1634,185,215,25,12,9,101,150,9,14,121,27,13,306,28,155,10,10,11,68,613,109,9,39,8,9,5,27,12,15,918,8,719,6,192,9,38,17,0,4,6,150,2,0,0,0,13,96,190,16,0,52,0,0
airplane,9935,35,2433,57,13006,184,49,4461,559,98,15,10,1,66,256,5,9,11,35,14,6,2,0,0,162,75,190,61,257,6,12,5,14,118,5,6,21,33,4,33,0,24,0,2,0,1,16,0,0,1,0,0,1,1,0,3,173,3,46,8,6,0,11,9,2,8,3,15,4,0,0,9,9,25,14,3,2,3,0,0
bus,32601,1269,14711,1125,184,11790,258,2743,210,4226,131,273,75,377,183,4,85,196,146,118,34,3,4,10,852,672,1785,132,275,13,41,3,30,171,6,6,79,21,12,110,3,34,0,4,4,23,75,12,7,17,0,6,9,8,26,1,432,4,330,1,49,0,27,7,2,3,2,79,2,1,1,1,5,15,407,8,0,32,0,0
train,11764,271,2655,53,49,258,4612,526,267,1225,23,68,20,561,68,5,37,91,51,54,48,0,0,2,422,236,763,78,417,4,7,3,9,6,0,1,35,22,3,54,4,11,1,0,0,5,15,11,2,13,0,0,3,1,2,14,238,4,125,1,29,2,21,4,1,1,1,63,0,0,0,5,5,26,165,0,4,11,0,0
truck,33814,1151,28055,2316,4461,2743,526,14566,971,5555,348,466,207,510,507,18,385,577,976,599,208,15,92,34,748,1018,1288,196,1034,126,93,38,176,1112,53,57,295,148,52,404,16,190,10,16,17,85,436,149,13,90,18,83,20,24,49,15,750,8,549,11,126,53,33,26,4,9,8,177,12,9,0,5,38,45,312,16,12,99,0,0
boat,38483,683,5943,133,559,210,267,971,96714,140,35,56,35,1252,4526,23,516,529,131,453,75,12,1,49,550,3802,399,45,251,93,71,16,205,1210,36,10,119,1469,6,486,44,232,57,59,20,267,448,104,34,37,8,4,28,39,2,5,2357,19,353,3,344,10,39,20,13,9,1,90,0,0,0,8,5,94,290,26,0,71,0,3
traffic light,51897,3014,54586,2585,98,4226,1225,5555,140,52636,844,781,476,691,891,9,198,455,90,33,35,4,0,4,1594,1905,3228,257,487,29,91,18,122,167,28,27,406,34,90,158,21,110,6,3,11,17,46,58,24,16,5,11,34,29,96,8,418,0,845,7,122,21,72,27,4,10,7,242,4,6,1,3,18,71,1041,13,14,32,0,0
fire hydrant,2912,183,3478,68,15,131,23,348,35,844,604,163,74,138,43,7,73,21,4,2,13,0,0,1,123,117,247,9,37,11,4,1,19,8,14,6,58,14,2,44,2,48,0,4,2,14,12,4,4,5,0,0,0,3,2,10,117,3,164,2,20,3,6,0,1,2,0,37,2,2,0,1,2,8,40,17,0,12,0,0
stop sign,3774,259,4206,193,10,273,68,466,56,781,163,1366,50,108,70,8,39,55,48,23,13,2,2,4,94,122,226,19,17,13,26,6,21,40,4,9,45,10,11,53,4,28,6,4,1,6,6,5,4,0,0,5,0,6,1,1,88,4,157,7,11,4,13,2,2,3,1,18,0,1,0,0,3,17,66,5,3,21,0,0
parking meter,1858,146,3332,63,1,75,20,207,35,476,74,50,3014,63,33,6,29,16,36,0,0,0,0,4,63,57,177,9,35,13,3,0,14,1,0,0,20,1,5,12,5,35,1,0,0,4,0,0,2,0,0,0,2,2,1,3,50,3,90,1,11,5,2,2,0,0,0,17,1,0,0,1,4,18,15,4,0,4,0,0
bench,36825,1049,4767,311,66,377,561,510,1252,691,138,108,63,17598,1503,243,548,232,199,151,366,36,35,94,1078,2138,1765,341,540,298,155,51,911,466,789,504,978,137,638,1119,115,641,70,65,83,279,199,74,62,54,26,23,82,87,96,52,3557,74,1550,59,1488,37,96,123,8,59,17,466,5,30,4,37,26,497,459,254,12,105,2,17
bird,14813,366,3997,118,256,183,68,507,4526,891,43,70,33,1503,110750,352,355,577,1187,1512,1302,111,1282,787,330,1128,726,76,87,115,38,7,109,1123,12,7,103,389,8,291,42,210,22,35,38,273,140,225,7,41,8,11,8,55,4,53,1032,43,323,85,295,6,58,35,18,30,29,84,11,28,2,24,10,373,469,94,68,132,4,15
cat,1721,131,295,50,5,4,5,18,23,9,7,8,6,243,352,2590,513,31,119,18,7,12,10,4,85,77,195,59,315,8,0,1,47,6,3,4,8,2,13,1142,69,612,38,93,67,563,97,109,17,80,29,88,5,20,20,29,1282,709,579,935,346,231,549,521,214,365,348,141,48,75,1,291,125,3809,109,264,45,244,8,116
dog,11538,352,1904,235,9,85,37,385,516,198,73,39,29,548,355,513,5626,413,1021,456,30,41,16,18,372,386,511,96,184,790,113,17,183,365,26,16,101,221,38,636,72,433,40,76,65,467,135,61,9,54,10,58,17,39,57,129,1456,738,577,633,358,35,263,166,57,306,103,141,36,91,2,72,88,1818,104,187,15,431,6,27
horse,27768,345,2057,169,11,196,91,577,529,455,21,55,16,232,577,31,413,21056,874,1713,118,8,144,40,242,406,434,411,61,14,41,1,70,74,27,2,23,8,17,79,16,56,0,2,7,49,7,10,2,0,4,6,0,3,28,80,328,18,250,11,44,2,21,2,5,10,6,52,9,6,0,5,4,110,69,47,2,75,1,7
sheep,9564,125,2297,161,35,146,51,976,131,90,4,48,36,199,1187,119,1021,874,112964,2488,75,33,71,65,130,89,182,149,32,34,0,0,9,110,10,0,1,0,0,39,2,53,0,3,1,57,1,6,0,4,1,25,0,0,0,18,162,11,52,3,34,1,26,6,0,5,12,40,0,0,0,1,0,21,72,6,9,57,0,1
cow,9123,231,1274,417,14,118,54,599,453,33,2,23,0,151,1512,18,456,1713,2488,68762,245,10,698,180,112,275,180,79,7,9,17,0,30,105,12,0,3,15,3,105,1,25,4,2,3,81,3,4,0,18,3,3,0,3,13,1,147,4,48,10,31,0,17,11,0,11,0,23,0,1,0,0,7,15,10,1,0,4,0,0
elephant,11509,69,739,113,6,34,48,208,75,35,13,13,0,366,1302,7,30,118,75,245,27466,21,467,162,183,251,331,32,29,25,0,0,93,10,8,2,11,6,11,24,0,4,12,4,10,6,26,23,4,3,10,24,1,1,0,4,128,0,41,3,20,0,3,1,0,0,0,49,1,0,0,0,2,21,13,1,0,27,0,0
bear,313,1,49,1,2,3,0,15,12,4,0,2,0,36,111,12,41,8,33,10,21,956,8,18,8,9,5,0,3,4,1,0,23,0,0,0,0,0,0,16,0,3,0,0,0,5,5,6,0,17,1,29,0,0,1,2,26,1,9,3,7,0,4,0,1,1,1,1,5,0,0,0,3,37,5,9,0,15,0,1
zebra,1069,4,280,0,0,4,0,92,1,0,0,2,0,35,1282,10,16,144,71,698,467,8,26870,1063,11,59,34,8,3,0,0,0,5,5,0,0,0,4,0,3,0,2,0,0,0,13,2,0,0,0,11,0,0,0,0,3,12,1,25,2,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,2,0,4,0,0
giraffe,3137,3,244,2,0,10,2,34,49,4,1,4,4,94,787,4,18,40,65,180,162,18,1063,11664,49,133,142,5,6,0,0,0,5,4,4,4,9,1,4,15,0,11,0,0,0,16,0,0,0,2,1,13,0,2,1,0,20,0,538,0,2,0,1,5,4,0,0,30,0,0,0,3,0,0,9,10,2,15,4,0
backpack,52771,2454,4442,967,162,852,422,748,550,1594,123,94,63,1078,330,85,372,242,130,112,183,8,11,49,7636,2132,4630,336,4510,352,3062,499,473,1335,244,107,1022,346,310,1370,156,546,60,70,48,224,185,131,73,75,5,37,53,110,80,71,2629,267,440,294,493,26,403,373,83,299,106,665,21,37,2,73,78,1459,374,106,10,74,3,29
